parent_name,utility_name,respondent_id,year,technology,employees_in_thousands
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2005,steam,872
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,hydro,31
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2006,steam,902
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2007,hydro,29
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2007,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2007,steam,955
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2008,hydro,31
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2008,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2008,steam,992
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2009,hydro,31
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2009,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2009,steam,1014
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2010,hydro,30
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2010,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2010,steam,908
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2011,hydro,29
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2011,other_fossil,5
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2011,steam,797
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2012,hydro,29
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2012,other_fossil,37
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2012,steam,775
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2013,hydro,28
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2013,other_fossil,38
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2013,steam,725
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2014,hydro,27
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2014,other_fossil,38
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2014,steam,769
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2015,hydro,30
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2015,other_fossil,40
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2015,steam,654
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2016,hydro,34
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2016,other_fossil,40
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2016,steam,566
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2017,hydro,39
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2017,other_fossil,40
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2017,steam,551
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2018,hydro,39
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2018,other_fossil,39
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2018,steam,530
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2019,hydro,41
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2019,other_fossil,36
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2019,steam,474
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2020,hydro,35
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2020,other_fossil,39
"American Electric Power Co., Inc.",Appalachian Power Co.,6,2020,steam,448
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2005,nuclear,624
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2005,other_fossil,76
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2005,steam,506
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2006,nuclear,629
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2006,other_fossil,127
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2006,steam,529
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2007,nuclear,659
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2007,other_fossil,124
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2007,steam,625
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2008,nuclear,692
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2008,other_fossil,129
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2008,steam,497
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2009,nuclear,714
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2009,other_fossil,132
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2009,steam,517
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2010,nuclear,715
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2010,other_fossil,123
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2010,steam,442
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2011,nuclear,703
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2011,other_fossil,128
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2011,steam,402
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2012,nuclear,703
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2012,other_fossil,128
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2012,steam,402
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2013,nuclear,670
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2013,other_fossil,133
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2013,steam,322
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2014,nuclear,669
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2014,other_fossil,123
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2014,steam,266
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2015,nuclear,662
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2015,other_fossil,117
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2015,steam,237
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2016,nuclear,638
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2016,other_fossil,127
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2016,steam,303
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2017,nuclear,638
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2017,other_fossil,127
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2017,steam,303
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2018,nuclear,608
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2018,other_fossil,122
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2018,steam,283
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2019,nuclear,597
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2019,other_fossil,156
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2019,steam,247
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2020,nuclear,563
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2020,other_fossil,162
Pinnacle West Capital Corp.,Arizona Public Service Co.,7,2020,steam,249
Entergy Corp.,"Entergy Arkansas, LLC",8,2005,nuclear,928
Entergy Corp.,"Entergy Arkansas, LLC",8,2005,steam,189
Entergy Corp.,"Entergy Arkansas, LLC",8,2006,nuclear,923
Entergy Corp.,"Entergy Arkansas, LLC",8,2006,steam,341
Entergy Corp.,"Entergy Arkansas, LLC",8,2007,nuclear,896
Entergy Corp.,"Entergy Arkansas, LLC",8,2007,other_fossil,4
Entergy Corp.,"Entergy Arkansas, LLC",8,2007,steam,340
Entergy Corp.,"Entergy Arkansas, LLC",8,2008,nuclear,845
Entergy Corp.,"Entergy Arkansas, LLC",8,2008,other_fossil,32
Entergy Corp.,"Entergy Arkansas, LLC",8,2008,steam,346
Entergy Corp.,"Entergy Arkansas, LLC",8,2009,nuclear,898
Entergy Corp.,"Entergy Arkansas, LLC",8,2009,other_fossil,33
Entergy Corp.,"Entergy Arkansas, LLC",8,2009,steam,341
Entergy Corp.,"Entergy Arkansas, LLC",8,2010,nuclear,975
Entergy Corp.,"Entergy Arkansas, LLC",8,2010,other_fossil,33
Entergy Corp.,"Entergy Arkansas, LLC",8,2010,steam,338
Entergy Corp.,"Entergy Arkansas, LLC",8,2011,nuclear,964
Entergy Corp.,"Entergy Arkansas, LLC",8,2011,other_fossil,34
Entergy Corp.,"Entergy Arkansas, LLC",8,2011,steam,333
Entergy Corp.,"Entergy Arkansas, LLC",8,2012,nuclear,972
Entergy Corp.,"Entergy Arkansas, LLC",8,2012,other_fossil,52
Entergy Corp.,"Entergy Arkansas, LLC",8,2012,steam,326
Entergy Corp.,"Entergy Arkansas, LLC",8,2013,nuclear,986
Entergy Corp.,"Entergy Arkansas, LLC",8,2013,other_fossil,51
Entergy Corp.,"Entergy Arkansas, LLC",8,2013,steam,308
Entergy Corp.,"Entergy Arkansas, LLC",8,2014,nuclear,963
Entergy Corp.,"Entergy Arkansas, LLC",8,2014,other_fossil,49
Entergy Corp.,"Entergy Arkansas, LLC",8,2014,steam,291
Entergy Corp.,"Entergy Arkansas, LLC",8,2015,nuclear,967
Entergy Corp.,"Entergy Arkansas, LLC",8,2015,other_fossil,49
Entergy Corp.,"Entergy Arkansas, LLC",8,2015,steam,290
Entergy Corp.,"Entergy Arkansas, LLC",8,2016,nuclear,996
Entergy Corp.,"Entergy Arkansas, LLC",8,2016,other_fossil,52
Entergy Corp.,"Entergy Arkansas, LLC",8,2016,steam,283
Entergy Corp.,"Entergy Arkansas, LLC",8,2017,nuclear,1048
Entergy Corp.,"Entergy Arkansas, LLC",8,2017,other_fossil,59
Entergy Corp.,"Entergy Arkansas, LLC",8,2017,steam,216
Entergy Corp.,"Entergy Arkansas, LLC",8,2018,nuclear,1114
Entergy Corp.,"Entergy Arkansas, LLC",8,2018,other_fossil,63
Entergy Corp.,"Entergy Arkansas, LLC",8,2018,steam,207
Entergy Corp.,"Entergy Arkansas, LLC",8,2019,nuclear,1148
Entergy Corp.,"Entergy Arkansas, LLC",8,2019,other_fossil,64
Entergy Corp.,"Entergy Arkansas, LLC",8,2019,steam,205
Entergy Corp.,"Entergy Arkansas, LLC",8,2020,hydro,3
Entergy Corp.,"Entergy Arkansas, LLC",8,2020,nuclear,1156
Entergy Corp.,"Entergy Arkansas, LLC",8,2020,other_fossil,62
Entergy Corp.,"Entergy Arkansas, LLC",8,2020,steam,202
Exelon Corp.,Atlantic City Electric Co.,9,2005,steam,493
Exelon Corp.,Atlantic City Electric Co.,9,2006,steam,477
Exelon Corp.,Atlantic City Electric Co.,9,2007,steam,107
Black Hills Corp.,"Black Hills Power, Inc.",12,2005,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2006,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2007,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2008,steam,88
Black Hills Corp.,"Black Hills Power, Inc.",12,2009,steam,86
Black Hills Corp.,"Black Hills Power, Inc.",12,2010,steam,96
Black Hills Corp.,"Black Hills Power, Inc.",12,2011,steam,98
Black Hills Corp.,"Black Hills Power, Inc.",12,2012,steam,98
Black Hills Corp.,"Black Hills Power, Inc.",12,2014,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2014,steam,116
Black Hills Corp.,"Black Hills Power, Inc.",12,2015,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2015,steam,70
Black Hills Corp.,"Black Hills Power, Inc.",12,2016,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2016,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2017,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2017,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2018,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2018,steam,40
Black Hills Corp.,"Black Hills Power, Inc.",12,2019,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2019,steam,76
Black Hills Corp.,"Black Hills Power, Inc.",12,2020,other_fossil,18
Black Hills Corp.,"Black Hills Power, Inc.",12,2020,steam,76
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2005,hydro,30
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2005,nuclear,1539
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2005,other_fossil,85
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2005,steam,659
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2006,hydro,28
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2006,nuclear,1499
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2006,other_fossil,78
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2006,steam,673
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2007,hydro,29
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2007,nuclear,1543
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2007,other_fossil,68
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2007,steam,723
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2008,hydro,29
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2008,nuclear,1620
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2008,other_fossil,75
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2008,steam,765
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2009,hydro,29
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2009,nuclear,1606
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2009,other_fossil,74
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2009,steam,794
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2010,hydro,26
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2010,nuclear,1373
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2010,other_fossil,76
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2010,steam,758
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2011,hydro,25
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2011,nuclear,1340
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2011,other_fossil,79
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2011,steam,669
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2012,hydro,24
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2012,nuclear,1484
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2012,other_fossil,111
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2012,steam,565
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2013,hydro,20
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2013,nuclear,1631
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2013,other_fossil,81
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2013,steam,517
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2014,hydro,13
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2014,nuclear,1808
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2014,other_fossil,77
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2014,steam,499
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2015,hydro,17
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2015,nuclear,2767
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2015,other_fossil,252
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2015,steam,499
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2016,hydro,21
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2016,nuclear,2627
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2016,other_fossil,248
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2016,steam,406
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2017,hydro,21
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2017,nuclear,2623
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2017,other_fossil,246
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2017,steam,401
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2018,hydro,19
Duke Energy Corp.,"Duke Energy Progress, LLC",17,2018,nuclear,2357
