parent_name,utility_name,respondent_id,year,rate_base_actual,equity_actual,debt_actual,equity_ratio_actual,returns_actual,earnings_actual,interest_actual,fed_tax_expense_actual,pre_tax_net_income_actual,ROR_actual,ROE_actual,interest_rate_actual,equity_ratio,ROR,ROE,interest_rate,effective_fed_tax_rate,equity_authorized,debt_authorized,returns_authorized,earnings_authorized,interest_authorized,interest_rate_authorized
AES Corp.,The Dayton Power & Light Co.,42,2010,2306369435,1402333872,883874802,0.613388396,307399091,267916273,37935496,82552826,537251285,0.133282676,0.18938024,0.042919536,0.4752,0.0727,0.1,0.047980183,0.153657754,1095986756,1210382679,167673057.9,109598675.6,58074382.37,0.047980183
AES Corp.,The Dayton Power & Light Co.,42,2009,2343213714,1425461758,883692912,0.617308912,287303418,246734183,38252497,-64476840,502873168,0.122610847,0.170574801,0.043287093,0.4752,0.0727,0.1,0.047980183,-0.128216903,1113495157,1229718557,170351637,111349515.7,59002121.32,0.047980183
AES Corp.,The Dayton Power & Light Co.,42,2008,6839806473,1476377067,883511022,0.625613169,321095136,277966592,38317596,21910895,534444600,0.046945062,0.064959535,0.043369686,0.4752,0.0727,0.1,0.047980183,0.040997505,3250276036,3589530437,497253930.6,325027603.6,172226327,0.047980183
AES Corp.,The Dayton Power & Light Co.,42,2007,2298419800,1392212180,873329132,0.614516351,263592695,207336325,37203165,86343153,510748526,0.114684313,0.146795452,0.042599249,0.4752,0.0727,0.1,0.047980183,0.169052182,1092209089,1206210711,167095119.5,109220908.9,57874210.56,0.047980183
AES Corp.,The Dayton Power & Light Co.,42,2006,2144191896,1254089014,783147242,0.615583495,271173268,218044283,33315603,143197416,480567347,0.12646875,0.165193931,0.042540663,0.4752,0.0727,0.1,0.047980183,0.297975751,1018919989,1125271907,155882750.8,101891998.9,53990751.94,0.047980183
AES Corp.,The Dayton Power & Light Co.,42,2005,1853476040,1102214448,682969689,0.617423394,247434223,182799839,35978980,116753252,441056153,0.133497395,0.159737084,0.0526802,0.4752,0.0727,0.1,0.047980183,0.264712897,880771814.2,972704225.8,134747708.1,88077181.42,46670526.69,0.047980183
Exelon Corp.,Delmarva Power & Light Co.,43,2020,2884913226,1671073669,1668046755,0.50045325,176418163,124969860.4,60359414,-9682605,162487663,0.061151982,0.086558359,0.036185685,0.502553182,0.067338732,0.095702431,0.038683876,-0.059589786,1449822321,1435090906,194266399.3,138751520.5,55514878.79,0.038683876
Exelon Corp.,Delmarva Power & Light Co.,43,2019,2719636450,1576186108,1568483861,0.501224651,187520287,136572289.2,58827558,29384121,226439314,0.068950498,0.100188832,0.037506001,0.502553182,0.067338732,0.095702431,0.038683876,0.129765987,1366761951,1352874499,183136870.7,130802441.2,52334429.51,0.038683876
Exelon Corp.,Delmarva Power & Light Co.,43,2018,2615069176,1504630612,1505895181,0.499789975,162058762,113348521.3,54701053,-1337606,198194589,0.061971119,0.086725165,0.036324609,0.489086094,0.067808359,0.096534608,0.040309385,-0.006748953,1278993970,1336075206,177323550.3,123467181,53856369.32,0.040309385
Exelon Corp.,Delmarva Power & Light Co.,43,2017,2334756179,1330210085,1310291909,0.503771665,134798619,91698792.31,50403662,-23779952,249565771,0.05773563,0.077962965,0.038467506,0.490694377,0.072649631,0.09640984,0.049757677,-0.095285311,1145651728,1189104451,169619175.3,110452100.3,59167074.98,0.049757677
Exelon Corp.,Delmarva Power & Light Co.,43,2016,2335024275,1320198020,1350674976,0.49429457,94772370,52337867.14,49132330,-88222746,71749964,0.040587317,0.045345979,0.036376131,0.490694377,0.072649631,0.09640984,0.049757677,-1.229585927,1145783281,1189240993,169638652.3,110464783.3,59173869.02,0.049757677
Exelon Corp.,Delmarva Power & Light Co.,43,2015,2123239615,1227904110,1275257306,0.490541322,115605948,73010824.29,47490436,-62416038,179073992,0.054447905,0.070099133,0.037239885,0.490694377,0.072649631,0.09640984,0.049757677,-0.348548872,1041861740,1081377875,154252574.9,100445724,53806850.85,0.049757677
Exelon Corp.,Delmarva Power & Light Co.,43,2014,2022255747,1165514531,1175760023,0.497811984,130578263,89909404.07,46460869,-42135373,217056211,0.064570598,0.089310741,0.039515605,0.492728798,0.073296548,0.096658824,0.050604019,-0.194121941,996423642.4,1025832104,148224364.7,96313137.47,51911227.2,0.050604019
Exelon Corp.,Delmarva Power & Light Co.,43,2013,1818207522,1029085292,1071591708,0.489882686,122712594,80219109.25,48752397,-8034952,191289819,0.067490973,0.090062147,0.04549531,0.497946648,0.074538659,0.097747532,0.051519631,-0.042004076,905370341.6,912837180.6,135526751.1,88497716.24,47029034.84,0.051519631
Exelon Corp.,Delmarva Power & Light Co.,43,2012,1702650115,967848052,1021570926,0.486497848,106605253,67195759.45,45295114,-1525738,158144866,0.062611368,0.081121418,0.044338687,0.482050395,0.076315035,0.100146657,0.054135188,-0.009647724,820763161.1,881886953.9,129937802.9,82196687.05,47741115.82,0.054135188
Exelon Corp.,Delmarva Power & Light Co.,43,2011,1451643299,833074609,869681618,0.489250661,95098022,63643941.14,41998019,-23084005,160386515,0.065510599,0.089611909,0.048291258,0.486335487,0.075056761,0.1,0.051440602,-0.143927343,705985651.4,745657647.6,108955643.4,70598565.14,38357078.29,0.051440602
Exelon Corp.,Delmarva Power & Light Co.,43,2010,1437733787,820841175,869693872,0.485551114,80320604,38917009.44,42187396,-35033970,110878527,0.055866117,0.055747581,0.048508328,0.486335487,0.075056761,0.1,0.051440602,-0.31596713,699220962.3,738512825.1,107911640.6,69922096.23,37989544.32,0.051440602
Exelon Corp.,Delmarva Power & Light Co.,43,2009,1308021697,787377818,790572124,0.49898783,63558127,29785704.69,41122358,-25448021,106554166,0.048591034,0.045635517,0.052015947,0.480766613,0.073698871,0.1,0.049346229,-0.238827086,628853161.1,679168536.4,96399722.3,62885316.11,33514406.2,0.049346229
Exelon Corp.,Delmarva Power & Light Co.,43,2008,1257849715,734680191,781379884,0.484598337,83417237,55310359.3,31587612,15862286,157221669,0.066317332,0.090739379,0.040425423,0.480766613,0.073698871,0.1,0.049346229,0.10089122,604732147,653117568,92702103.84,60473214.7,32228889.14,0.049346229
Exelon Corp.,Delmarva Power & Light Co.,43,2007,1103925581,655443051,656739553,0.499505975,73184321,34664945.26,33340326,11864532,119670261,0.066294615,0.062865161,0.050766435,0.480766613,0.073698871,0.1,0.049346229,0.099143529,530730562.7,573195018.7,81358068.98,53073056.27,28285012.71,0.049346229
Exelon Corp.,Delmarva Power & Light Co.,43,2006,1125544457,670238417,721300543,0.481652642,69979250,36559371.21,32420123,-4462585,117817863,0.062173688,0.067437602,0.044946761,0.480766613,0.073698871,0.1,0.049346229,-0.037876981,541124196,584420260.5,82951355.67,54112419.6,28838936.07,0.049346229
Exelon Corp.,Delmarva Power & Light Co.,43,2005,1062263703,638065604,644142819,0.497630177,90429624,62235410.04,32545091,64331112,173032262,0.085129167,0.11773308,0.050524651,0.480766613,0.073698871,0.1,0.049346229,0.371786806,510700922.3,551562780.3,78287635.55,51070092.23,27217543.32,0.049346229
DTE Energy,DTE Electric Co.,44,2020,16256625712,8075328423,8254028027,0.494528272,1146875330,818518409,320577037,19496540,1182145816,0.070548178,0.101813864,0.03883886,0.3794,0.0548,0.1,0.027167257,0.0164925,6167763795,10088861917,890863089,616776379.5,274086709.5,0.027167257
DTE Energy,DTE Electric Co.,44,2019,14329945515,7199712735,7187180560,0.500435541,1003973117,693664718,300221751,20189055,1161295199,0.070061196,0.096729049,0.041771839,0.3684,0.0534,0.1,0.026219126,0.017384947,5279151928,9050793587,765219090.5,527915192.8,237303897.7,0.026219126
DTE Energy,DTE Electric Co.,44,2018,13208519966,6797686134,6541391083,0.509606926,951199740,671413119,270242931,6342215,1163356986,0.072014105,0.099747115,0.041312762,0.3749,0.0555,0.101,0.028211646,0.00545165,4951874135,8256645831,733072858.1,500139287.7,232933570.5,0.028211646
DTE Energy,DTE Electric Co.,44,2017,12133769581,6268942827,6017925641,0.510214856,851568206,580454059,256930640,-23660962,1232015011,0.070181669,0.093760304,0.04269422,0.3803,0.057,0.103,0.028770534,-0.019205092,4614472572,7519297009,691624866.1,475290674.9,216334191.2,0.028770534
DTE Energy,DTE Electric Co.,44,2016,11728318181,5996581141,5877333132,0.505021428,859550650,598512352,254414090,-232250,1258559889,0.073288483,0.101047965,0.043287335,0.3803,0.057,0.103,0.028770534,-0.000184536,4460279404,7268038777,668514136.3,459408778.6,209105357.7,0.028770534
DTE Energy,DTE Electric Co.,44,2015,11023267734,5673268652,5586266731,0.503863477,787015512,533521963,246827736,-22914418,1112500195,0.071395845,0.096057011,0.044184739,0.4026,0.0659,0.105,0.039549715,-0.020597226,4437967590,6585300144,726433343.7,465986596.9,260446746.8,0.039549715
DTE Energy,DTE Electric Co.,44,2014,10261511198,5196386053,5116015509,0.503896791,743343330,511824032,231312454,-13125425,1096461132,0.072439947,0.098984629,0.0452134,0.4026,0.0659,0.105,0.039549715,-0.011970716,4131284408,6130226790,676233587.9,433784862.9,242448725.1,0.039549715
DTE Energy,DTE Electric Co.,44,2013,9627762729,4853866242,4806188162,0.502467796,716341806,479533051,232388580,120888239,1000173341,0.074403766,0.099125396,0.048351952,0.4026,0.0659,0.105,0.039549715,0.120867288,3876137275,5751625454,634469563.8,406994413.8,227475150,0.039549715
DTE Energy,DTE Electric Co.,44,2012,8721007747,4302189813,4446408541,0.491757609,716096567,485183852,230877045,273180134,1021633777,0.082111677,0.113132811,0.051924389,0.4026,0.0659,0.105,0.039549715,0.267395362,3511077719,5209930028,574714410.5,368663160.5,206051250,0.039549715
DTE Energy,DTE Electric Co.,44,2011,8498534898,4135320586,4370377544,0.486182383,694483517,456414594,229993331,24045042,942995570,0.081718028,0.11046285,0.052625506,0.3948,0.0702,0.11,0.044236616,0.025498574,3355221578,5143313320,596597149.8,369074373.6,227522776.3,0.044236616
DTE Energy,DTE Electric Co.,44,2010,8200930299,4008075185,4160373588,0.490677642,694559545,441686028,233359408,-88188663,948290894,0.084692775,0.109762571,0.056090974,0.4068,0.0716,0.11,0.045266352,-0.09299748,3336138446,4864791853,587186609.4,366975229,220211380.4,0.045266352
DTE Energy,DTE Electric Co.,44,2009,7992355516,3872290039,4054159273,0.488527698,606224596,350064536,233447356,168297515,802381091,0.075850554,0.089656985,0.057582187,0.4068,0.0716,0.11,0.045266352,0.209747609,3251290224,4741065292,572252654.9,357641924.6,214610730.3,0.045266352
DTE Energy,DTE Electric Co.,44,2008,9788380496,3561538860,6119124780,0.367902346,521925449,304769266,209296195,65725942,731269787,0.05332092,0.084630668,0.034203616,0.410038441,0.069772867,0.105000401,0.045288826,0.089879198,4013612279,5774768217,682963370.4,421430897.5,261532472.8,0.045288826
DTE Energy,DTE Electric Co.,44,2007,7354098778,3320256890,3807707288,0.46580718,505826763,294516894,199844874,257052419,711026836,0.068781611,0.085975473,0.052484306,0.410038441,0.069772867,0.105000401,0.045288826,0.361522809,3015463198,4338635580,513116555.9,316624844.1,196491711.8,0.045288826
DTE Energy,DTE Electric Co.,44,2006,7114175777,3151347286,3797136153,0.453530229,522842257,334583688,191214341,156863039,727660212,0.073493019,0.103698848,0.050357515,0.3808,0.0724,0.11,0.049276486,0.215571824,2709078136,4405097641,515066326.3,297998594.9,217067731.3,0.049276486
DTE Energy,DTE Electric Co.,44,2005,6601984264,2987106979,3485158560,0.46152417,443367685,244772351,181836125,107090134,675735406,0.067156732,0.080332896,0.05217442,0.3808,0.0724,0.11,0.049276486,0.158479389,2514035608,4087948656,477983660.7,276543916.9,201439743.9,0.049276486
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2020,26613114986,13156138097,11984901034,0.52329333,1749431410,1263200220,489944789,300026084,1342005480,0.065735687,0.090705011,0.04088017,0.522874359,0.072953872,0.097834588,0.045687493,0.223565469,13915315450,12697799536,1941529777,1361399150,580130626.4,0.045687493
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2019,25779985958,12813246836,11776475856,0.521081388,1822074376,1360129423,468477437,170708943,2003822403,0.070677865,0.101249293,0.039780784,0.522385342,0.074788085,0.099726034,0.0475125,0.085191653,13467086778,12312899180,1928035771,1343019150,585016621.3,0.0475125
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2018,23342981275,11687177288,10883793364,0.51779684,1600227732,1162081328,457531046,-3506659,1667216689,0.068552843,0.096143694,0.042037829,0.53,0.078826865,0.102,0.052695457,-0.002103301,12371780076,10971201199,1840054031,1261921568,578132463.6,0.052695457
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2017,22158374221,11365886081,10088892779,0.529760113,1547299635,1137543289,437490775,212429582,2145525147,0.069829114,0.096906026,0.043363606,0.53,0.078826865,0.102,0.052695457,0.09901053,11743938337,10414435884,1746675171,1197881710,548793460.8,0.052695457
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2016,20975244597,10773721634,9626310735,0.528122772,1502729079,1090552700,419512738,122520135,2075627776,0.071642982,0.098447509,0.043579804,0.53,0.078826865,0.102,0.052695457,0.05902799,11116879636,9858364961,1653412772,1133921723,519491049.2,0.052695457
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2015,20438699041,11606096451,8381662974,0.580660203,1378975949,979522797,405487890,220187191,1976367955,0.067468871,0.082535206,0.048377976,0.53,0.078826865,0.102,0.052695457,0.111410019,10832510492,9606188549,1611118568,1104916070,506202497.9,0.052695457
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2014,19706454267,10923478576,8363437766,0.566367292,1418023025,1020253911,392270289,201244819,1976094125,0.071957289,0.091411664,0.046902996,0.53,0.078826865,0.102,0.052695457,0.101839693,10444420762,9262033505,1553398008,1065330918,488067090.5,0.052695457
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2013,19195832227,10349877416,8406315258,0.551811212,1267346845,908079480,412148762,51516528,1943951640,0.06602198,0.085728731,0.049028468,0.53,0.081073685,0.105,0.054092947,0.026500931,10173791080,9022041147,1556276854,1068248063,488028790.8,0.054092947
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2012,18993984645,9872283450,8708994271,0.531302723,1168732668,785153384,419253309,-6828208,1683572120,0.061531726,0.077803007,0.048140267,0.526253398,0.083875204,0.107,0.058187415,-0.004055786,9995648961,8998335684,1593124335,1069534439,523589895.8,0.058187415
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2011,19121911870,9453626345,9239587886,0.505725031,1050236701,689946739,420414236,-102778735,1646980463,0.054923206,0.071346029,0.045501406,0.526253398,0.083875204,0.107,0.058187415,-0.062404344,10062971098,9058940772,1603854257,1076737907,527116349.2,0.058187415
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2010,16910150564,8915949831,7749028244,0.535011195,1023699179,661399489,399199681,-131941143,1643516194,0.060537556,0.073106082,0.051516096,0.526253398,0.083875204,0.107,0.058187415,-0.080279795,8899024195,8011126369,1418342326,952195588.8,466146737.3,0.058187415
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2009,16177860462,8270589640,7663236045,0.519058624,935446658,605465618,374925034,-232411247,1412492340,0.057822643,0.072102777,0.048925158,0.53,0.085237043,0.109131956,0.058291716,-0.164539828,8574266045,7603594417,1378952987,935726420.5,443226566.3,0.058291716
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2008,14620651327,7316077302,7276779683,0.501346468,960978902,629783644,349713402,-16243560,1378181619,0.065727503,0.085918502,0.048058814,0.53,0.085237043,0.109131956,0.058291716,-0.011786226,7748945203,6871706124,1246221085,845657543.2,400563541.8,0.058291716
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2007,12307306719,6632465214,5391041034,0.551624882,976057795,683580708,288010968,334612392,1336340201,0.07930718,0.100689208,0.053423998,0.53,0.085237043,0.109131956,0.058291716,0.250394616,6522872561,5784434158,1049038431,711853838.1,337184593.1,0.058291716
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2006,11545265241,5978436249,5268338356,0.531568957,901703825,602609055,280843648,292309396,1378317915,0.078101612,0.0981911,0.053307823,0.53,0.085237043,0.109131956,0.058291716,0.212076904,6118990578,5426274663,984084269.1,667777407.5,316306861.6,0.058291716
Duke Energy Corp.,"Duke Energy Carolinas, LLC",45,2005,22053373278,16438184782,5761681172,0.740463245,1003768323,712642380,283380661,372174624,2462824487,0.04551541,0.043640841,0.049183676,0.53,0.085237043,0.109131956,0.058291716,0.15111699,11688287837,10365085441,1879764325,1275565708,604198616.8,0.058291716
DQE Holdings LLC,Duquesne Light Co.,46,2020,3101106743,1507946982,1395000000,0.519453849,228311630,170241365,55794612,28064166,266111742,0.073622629,0.105682094,0.039996138,0.537417538,0.076408873,0.10220039,0.04644489,0.105460082,1666589152,1434517591,236952072.4,170326061.3,66626011.07,0.04644489
DQE Holdings LLC,Duquesne Light Co.,46,2019,2762095646,1418490581,1195000000,0.542757105,238336079,183722163,51763015,27996974,289923043,0.086288134,0.12255113,0.043316331,0.537417538,0.076408873,0.10220039,0.04644489,0.096566916,1484398643,1277697003,211048616.4,151706120.2,59342496.19,0.04644489
DQE Holdings LLC,Duquesne Light Co.,46,2018,2598541760,1287229332,1195000000,0.518577923,206371293,150611275,53189927,15068695,244718856,0.079418117,0.111767043,0.044510399,0.512079746,0.079252876,0.105000401,0.052230456,0.061575537,1330660604,1267881156,205941908.1,139719896.6,66222011.52,0.052230456
DQE Holdings LLC,Duquesne Light Co.,46,2017,2406976007,1212062192,1119905000,0.519759539,179926344,130108143,47729482,17884351,270399527,0.074752031,0.10399926,0.042619224,0.512079746,0.079252876,0.105000401,0.052230456,0.066140467,1232563662,1174412345,190759771.2,129419678.4,61340092.86,0.052230456
DQE Holdings LLC,Duquesne Light Co.,46,2016,2310610510,1209175665,1059905000,0.532892322,165837973,117038955,47140773,-10414164,249653685,0.071772362,0.09505265,0.044476413,0.512079746,0.079252876,0.105000401,0.052230456,-0.041714441,1183216843,1127393667,183122528.4,124238242.6,58884285.86,0.052230456
DQE Holdings LLC,Duquesne Light Co.,46,2015,2257335017,1173239083,1059905000,0.525375452,171035753,112955890,51725658,36554258,260366458,0.075768883,0.095245197,0.048802164,0.512079746,0.079252876,0.105000401,0.052230456,0.140395419,1155935542,1101399475,178900292.4,121373695.1,57526597.34,0.052230456
DQE Holdings LLC,Duquesne Light Co.,46,2014,2023409639,1219080378,799905000,0.603808423,153339207,111390337,29389854,29129726,252526925,0.075782582,0.091172641,0.036741681,0.516812096,0.08323448,0.105000401,0.059953907,0.115352951,1045722577,977687062.1,168417449,109801289.6,58616159.36,0.059953907
DQE Holdings LLC,Duquesne Light Co.,46,2013,2072569647,1201177684,869905000,0.579975726,161579712,119881476,24231125,40384314,270300709,0.077961053,0.099731679,0.027854909,0.516812096,0.08323448,0.105000401,0.059953907,0.149405135,1071129064,1001440583,172509256.6,112468980.9,60040275.76,0.059953907
DQE Holdings LLC,Duquesne Light Co.,46,2012,1926135044,1167225771,759905000,0.605680626,182721232,141180480,25806082,-5158059,313817435,0.094864185,0.121016403,0.033959616,0.516812096,0.08323448,0.105000401,0.059953907,-0.016436496,995449889.5,930685154.5,160320848.6,104522637.3,55798211.35,0.059953907
DQE Holdings LLC,Duquesne Light Co.,46,2011,1955263731,1163894696,759898861,0.604999789,192312952,149303331,28987134,30799541,291556176,0.098356528,0.126214407,0.038146042,0.45,0.08323448,0.109667085,0.061607803,0.105638445,879868679,1075395052,162745359.7,96492633.36,66252726.38,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2010,1788191090,1151061621,592147812,0.660311721,163496559,128971258,26079480,-57130697,166683104,0.091431257,0.109226999,0.044042179,0.45,0.08323448,0.109667085,0.061607803,-0.342750379,804685990.5,983505099.5,148839155.4,88247567.06,60591588.3,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2009,1657262479,1180182758,442126763,0.727470771,148172959,119168836,24944126,17952119,192354187,0.089408263,0.098845261,0.056418494,0.45,0.08323448,0.109667085,0.061607803,0.093328455,745768115.6,911494363.4,137941380.5,81786215.45,56155165.06,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2008,1563749978,1167114381,342106563,0.773322412,132882165,109783860,19533026,43644422,209288831,0.084976606,0.090784265,0.057096321,0.45,0.08323448,0.109667085,0.061607803,0.208536795,703687490.1,860062487.9,130157916.1,77171355.92,52986560.21,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2007,1581742755,1198337567,342086533,0.777927044,118449250,87811293,28499656,69732517,224559959,0.074885281,0.071363419,0.083311248,0.45,0.08323448,0.109667085,0.061607803,0.310529612,711784239.8,869958515.3,131655535.6,78059302.85,53596232.72,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2006,1511083853,817089466,636686203,0.562046458,60181440,18641492,38223146,-32840901,82632061,0.039826671,0.02194926,0.060034513,0.45,0.08323448,0.109667085,0.061607803,-0.397435337,679987733.9,831096119.2,125774278.6,74572272.73,51202005.88,0.061607803
DQE Holdings LLC,Duquesne Light Co.,46,2005,1437008396,776997648,636513773,0.549693222,94869111,24188468,43876525,8890459,137683979,0.066018481,0.030621656,0.068932562,0.45,0.08323448,0.109667085,0.061607803,0.064571485,646653778.2,790354617.8,119608646.5,70916634.98,48692011.49,0.061607803
Edison Sault Electric Co.,Edison Sault Electric Co.,48,2009,66675549,53402847,8500000,0.86268806,2429185,1447195,,-767156,11066512,0.036432921,0.02515977,,0.86268806,,0,0.06275424,-0.069322294,57520200.03,9155348.97,,0,,
Edison Sault Electric Co.,Edison Sault Electric Co.,48,2008,63562629,50312190,9500000,0.841169501,3126297,1942903,13638,53089,10780010,0.049184514,0.036338396,0.001435579,0.841169501,0.001435579,0,0.063134494,0.004924764,53466944.9,10095684.1,91249.17203,0,91249.17203,0.009038434
Edison Sault Electric Co.,Edison Sault Electric Co.,48,2007,59568651,46103884,10500000,0.814500362,3314827,1895088,34503,2076339,10153988,0.055647173,0.039058929,0.003286,0.814500362,0.003286,0,0.065132182,0.204485075,48518687.79,11049963.21,195742.5872,0,195742.5872,0.01771432
Edison Sault Electric Co.,Edison Sault Electric Co.,48,2006,56740435,42521051,11843000,0.782153835,3088985,1699460,54400,1992726,9268818,0.05444063,0.038293592,0.004593431,0.782153835,0.004593431,0,0.066009434,0.214992462,44379748.86,12360686.14,260633.2571,0,260633.2571,0.021085663
Edison Sault Electric Co.,Edison Sault Electric Co.,48,2005,56162235,39290487,13124000,0.74961121,3495716,2260348,114057,2263808,9136530,0.062243178,0.053690179,0.008690719,0.74961121,0.008690719,0,0.067630781,0.247775468,42099840.91,14062394.09,488090.2192,0,488090.2192,0.034708899
El Paso Electric Co,El Paso Electric Co.,49,2020,2818084805,1397187639,1288017678,0.520328047,169374532,95969886,72293195,13269005,175499027,0.060102709,0.065449101,0.056127487,0.485386231,0.077179602,0.096153593,0.059283242,0.075607285,1367859561,1450225244,217498664.5,131524610.9,85974053.57,0.059283242
El Paso Electric Co,El Paso Electric Co.,49,2019,2646941832,1236463123,1288018879,0.489788845,166000535,90562364,72948640,2398087,229340282,0.062714085,0.069854512,0.056636313,0.485386231,0.077179602,0.096153593,0.059283242,0.010456458,1284789119,1362152713,204289917.9,123537089.4,80752828.47,0.059283242
El Paso Electric Co,El Paso Electric Co.,49,2018,2627042225,1183128311,1288021376,0.478776465,158668058,83536953,73709754,-9932853,180667900,0.060397985,0.066416928,0.05722712,0.485386231,0.077179602,0.096153593,0.059283242,-0.054978516,1275130124,1351912101,202754074.1,122608342.3,80145731.81,0.059283242
El Paso Electric Co,El Paso Electric Co.,49,2017,2412620925,1160566445,1163025101,0.499470936,157877912,85644440,71177625,-8528717,220242367,0.065438341,0.071072217,0.06120042,0.489270841,0.076621256,0.094387515,0.059601448,-0.038724234,1180425070,1232195855,184858046.7,111417389,73440657.71,0.059601448
El Paso Electric Co,El Paso Electric Co.,49,2016,2370143902,1092354723,1196329881,0.477284953,153611956,85617453,69667572,-7933389,216449961,0.064811236,0.075685005,0.058234416,0.516905595,0.085019596,0.100798575,0.068136266,-0.0366523,1225140643,1145003259,201508677.4,123492430.7,78016246.71,0.068136266
El Paso Electric Co,El Paso Electric Co.,49,2015,2197967640,1033308261,1039284083,0.49855837,119921694,59484545,63903068,-2897651,180642872,0.054560264,0.054283375,0.061487585,0.516905595,0.085019596,0.100798575,0.068136266,-0.016040771,1136141770,1061825870,186870321.1,114521471.1,72348850.01,0.068136266
El Paso Electric Co,El Paso Electric Co.,49,2014,2156688895,998848394,1039179598,0.490105336,122152580,70142878,57122593,-2690265,196592409,0.056638943,0.066360041,0.054968932,0.516905595,0.085019596,0.100798575,0.068136266,-0.013684481,1114804556,1041884339,183360818.9,112370710.3,70990108.56,0.068136266
El Paso Electric Co,El Paso Electric Co.,49,2013,1969939993,954608327,889620194,0.517619328,130563159,77332286,56687739,-2122021,192275325,0.066277734,0.075839833,0.063721282,0.516905595,0.085019596,0.100798575,0.068136266,-0.011036367,1018273003,951666989.6,167483502.7,102640467.4,64843035.21,0.068136266
El Paso Electric Co,El Paso Electric Co.,49,2012,1838529810,831577478,889534646,0.483162873,127251805,77263695,52844578,1347316,195404775,0.069213893,0.086978366,0.059406992,0.500477268,0.087005285,0.106293017,0.067680696,0.006895,920142376.3,918387433.7,159961809.9,97804709.31,62157100.63,0.067680696
El Paso Electric Co,El Paso Electric Co.,49,2011,1623889583,762972008,739796838,0.507710823,116273435,65777871,52632354,1774080,213078669,0.071601811,0.079782363,0.071144335,0.500477268,0.087005285,0.106293017,0.067680696,0.008325939,812719821.9,811169761.1,141286975.8,86386441.9,54900533.94,0.067680696
El Paso Electric Co,El Paso Electric Co.,49,2010,1662140369,808894248,739745281,0.522325714,126827457,81796023,49876918,12656239,196617059,0.076303698,0.094215658,0.067424449,0.500477268,0.087005285,0.106293017,0.067680696,0.064369994,831863470.8,830276898.2,144614996.4,88421278.1,56193718.28,0.067680696
El Paso Electric Co,El Paso Electric Co.,49,2009,1531163619,727956977,741815888,0.495285356,107036248,61671486,49939467,-10073000,149806715,0.069905167,0.081321864,0.067320568,0.500417403,0.085456262,0.105186826,0.065692728,-0.067239977,766220921.8,764942697.2,130847519.3,80596346.96,50251172.37,0.065692728
El Paso Electric Co,El Paso Electric Co.,49,2008,1498222960,697764186,743029856,0.484291415,117167973,71531324,47092645,18009163,167995280,0.078204631,0.0985855,0.06337921,0.500417403,0.085456262,0.105186826,0.065692728,0.107200411,749736842.8,748486117.2,128032533.7,78862439,49170094.74,0.065692728
El Paso Electric Co,El Paso Electric Co.,49,2007,1304606939,666258929,594655082,0.528393628,104209861,68141416,36358778,19135928,160914311,0.079878359,0.098849368,0.061142634,0.477906619,0.087226427,0.107100437,0.06903443,0.118919988,623480291,681126648,113796201.6,66775011.92,47021189.65,0.06903443
El Paso Electric Co,El Paso Electric Co.,49,2006,1166896409,571356054,594656799,0.490008367,102194622,65009403,34857745,8147547,148163834,0.087578144,0.113694742,0.058618257,0.477906619,0.087226427,0.107100437,0.06903443,0.05499012,557667517.2,609228891.8,101784204.1,59726435.06,42057769.06,0.06903443
El Paso Electric Co,El Paso Electric Co.,49,2005,1148034598,558215293,593708847,0.484593797,69232317,29753109,39940612,-4971018,84033857,0.060305079,0.053481001,0.067273062,0.477906619,0.087226427,0.107100437,0.06903443,-0.059154943,548653332.9,599381265.1,100138955.7,58761011.98,41377943.77,0.06903443
Vistra Corp.,"Electric Energy, Inc.",50,2012,48479335,43484834,,,-28182572,-29353411,,-3972595,-54658859,-0.581331654,,,,,0,0.061017739,0.072679801,,,,,,
Vistra Corp.,"Electric Energy, Inc.",50,2011,39985859,37717357,,,4640892,2309407,,-2723794,11015199,0.116063331,,,,,0,0.061885134,-0.247275968,,,,,,
Vistra Corp.,"Electric Energy, Inc.",50,2010,57739361,58369766,,,19230010,15883902,,6256516,32702320,0.333048542,,,,,0,0.062882313,0.191317191,,,,,,
