parent_name,utility_name,respondent_id,year,rate_base_actual,equity_actual,debt_actual,equity_ratio_actual,returns_actual,earnings_actual,interest_actual,fed_tax_expense_actual,pre_tax_net_income_actual,ROR_actual,ROE_actual,interest_rate_actual,equity_ratio,ROR,ROE,interest_rate,effective_fed_tax_rate,equity_authorized,debt_authorized,returns_authorized,earnings_authorized,interest_authorized,interest_rate_authorized
Exelon Corp.,Baltimore Gas & Electric Co.,10,2010,3048204563,2263247884,2118588551,0.516506702,202658481,104517832.4,102853043,-193636380,440082530,0.066484541,0.066385056,0.048547908,0.5193,0.0806,0.0986,0.061154608,-0.440000152,1582932629,1465271933,245685287.8,156077157.3,89608130.5,0.061154608
Exelon Corp.,Baltimore Gas & Electric Co.,10,2009,3098820170,2128866190,2180875717,0.493966051,175238619,74910788.57,103371954,-186320629,352278400,0.056550109,0.048938527,0.047399287,0.5193,0.0806,0.0986,0.061154608,-0.528901656,1609217314,1489602856,249764905.7,158668827.2,91096078.51,0.061154608
Exelon Corp.,Baltimore Gas & Electric Co.,10,2008,2940119165,1728265955,2247084756,0.434745531,99570522,1857107.299,98003670,-11654249,265676944,0.033866152,0.001452904,0.043613695,0.5193,0.0806,0.0986,0.061154608,-0.043866242,1526803882,1413315283,236973604.7,150542862.8,86430741.9,0.061154608
Exelon Corp.,Baltimore Gas & Electric Co.,10,2007,3014690126,1861668403,2191844942,0.459272795,184998746,96023745.05,115678430,-169515,427068314,0.061365758,0.069352998,0.05277674,0.5193,0.0806,0.0986,0.061154608,-0.000396927,1565528582,1449161544,242984024.1,154361118.2,88622905.92,0.061154608
Exelon Corp.,Baltimore Gas & Electric Co.,10,2006,2588958108,1841616975,1713744394,0.517983064,202820645,129074326.7,93200594,-17963460,453984557,0.078340644,0.096249678,0.054384186,0.5193,0.0806,0.0986,0.061154608,-0.039568438,1344445945,1244512162,208670023.5,132562370.2,76107653.28,0.061154608
Exelon Corp.,Baltimore Gas & Electric Co.,10,2005,2217744628,1812544760,1459591670,0.553933126,228840853,162066976.9,87434921,106301634,489207965,0.103186296,0.131924561,0.059903686,0.5193,0.0806,0.0986,0.061154608,0.217293343,1151674785,1066069843,178750217,113555133.8,65195083.19,0.061154608
Versant Power,Versant Power,11,2020,873082686,536182146,442000000,0.548141415,44185027,26350321,18276826,61711,38350198,0.050608067,0.055060217,0.041350285,0.492953163,0.07261687,0.0961337,0.049753704,0.001609144,430388871.7,442693814.3,63400531.66,41374874.76,22025656.91,0.049753704
Versant Power,Versant Power,11,2019,834857465,531922441,398538033,0.571676558,51601478,33454924,18291826,2715673,58757031,0.061808728,0.070096661,0.045897316,0.49,0.0718,0.0935,0.05095098,0.04621869,409080157.8,425777307.2,59942765.99,38248994.76,21693771.23,0.05095098
Versant Power,Versant Power,11,2018,781072388,529532360,350796266,0.601516689,47955984,31610089,16259059,5943629,56132254,0.061397618,0.067280119,0.046349008,0.49,0.0745,0.09,0.059607843,0.105886163,382725470.1,398346917.9,58189892.91,34445292.31,23744600.6,0.059607843
Versant Power,Versant Power,11,2017,742861845,526787876,325416180,0.618147581,47649524,32721022,14949411,1060510,70515719,0.064143184,0.071256852,0.04593936,0.49,0.0745,0.09,0.059607843,0.015039342,364002304.1,378859541,55343207.45,32760207.36,22583000.09,0.059607843
Versant Power,Versant Power,11,2016,692956838,522202541,282744199,0.64874173,52199287,37611411,14437272,3497218,66099445,0.075328338,0.083664575,0.051061249,0.49,0.07337527,0.0955,0.052118177,0.052908432,339548850.6,353407987.4,50845895.4,32426915.23,18418980.16,0.052118177
Versant Power,Versant Power,11,2015,691819336,516346227,286575563,0.643084088,49500298,35516305,14626086,5739443,69399206,0.071550903,0.079830218,0.05103745,0.49,0.07337527,0.0955,0.052118177,0.082701854,338991474.6,352827861.4,50762430.88,32373685.83,18388745.05,0.052118177
Versant Power,Versant Power,11,2014,692144900,510693211,292921314,0.635495247,46405567,33941404,12216790,6264075,67578671,0.067046029,0.07716502,0.041706729,0.492953163,0.086,0.102,0.07044473,0.092693078,341195017.7,350949882.3,59524461.4,34801891.81,24722569.59,0.07044473
Versant Power,Versant Power,11,2013,529024119,417278538,192727271,0.684056663,41818111,30292737,11774426,2965195,60523925,0.079047645,0.083708771,0.06109372,0.492953163,0.086,0.102,0.07044473,0.048992113,260784112.8,268240006.2,45496074.23,26599979.5,18896094.73,0.07044473
