utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
Alabama Power Co.,2,2010,3,industrial,5641,20557837,1230461572
Alabama Power Co.,2,2010,7,interdepartmental,1,3696,254911
Alabama Power Co.,2,2010,4,public_street_and_highway_lighting,740,212173,26666135
Alabama Power Co.,2,2010,5,rate_refunds,3882,,-854399
Alabama Power Co.,2,2010,6,residential,1232188,20417032,2283420225
Alabama Power Co.,2,2010,1,sales_for_resale,3882,14538785,701132936
Alabama Power Co.,2,2009,2,commercial,200965,14186970,1429601367
Alabama Power Co.,2,2009,3,industrial,5910,18554028,1080207632
Alabama Power Co.,2,2009,7,interdepartmental,1,3493,239091
Alabama Power Co.,2,2009,4,public_street_and_highway_lighting,735,214101,25355024
Alabama Power Co.,2,2009,5,rate_refunds,3882,,887915
Alabama Power Co.,2,2009,6,residential,1228000,18071471,1961677752
Alabama Power Co.,2,2009,1,sales_for_resale,3882,20339303,856854733
Alabama Power Co.,2,2008,2,commercial,216510,14551495,1459465734
Alabama Power Co.,2,2008,3,industrial,5885,22074616,1381099589
Alabama Power Co.,2,2008,7,interdepartmental,1,3459,247699
Alabama Power Co.,2,2008,4,public_street_and_highway_lighting,730,197824,23864778
Alabama Power Co.,2,2008,5,rate_refunds,3882,,-74876
Alabama Power Co.,2,2008,6,residential,1212244,18379801,1997603155
Alabama Power Co.,2,2008,1,sales_for_resale,3882,20229031,1020385336
Alabama Power Co.,2,2007,2,commercial,216230,14761243,1313641525
Alabama Power Co.,2,2007,3,industrial,5795,22805675,1238367541
Alabama Power Co.,2,2007,7,interdepartmental,1,3394,216703
Alabama Power Co.,2,2007,4,public_street_and_highway_lighting,726,197480,21167216
Alabama Power Co.,2,2007,5,rate_refunds,3882,,-1599118
Alabama Power Co.,2,2007,6,residential,1202491,18874039,1833562628
Alabama Power Co.,2,2007,1,sales_for_resale,3882,18922975,771135939
Alabama Power Co.,2,2006,2,commercial,213794,14314466,1169146286
Alabama Power Co.,2,2006,3,industrial,5634,23227952,1143515388
Alabama Power Co.,2,2006,7,interdepartmental,1,3437,197070
Alabama Power Co.,2,2006,4,public_street_and_highway_lighting,722,196009,18569051
Alabama Power Co.,2,2006,6,residential,1189597,18632935,1664303670
Alabama Power Co.,2,2006,1,sales_for_resale,3882,20988626,850579785
Alabama Power Co.,2,2005,2,commercial,210920,14055631,1061888622
Alabama Power Co.,2,2005,3,industrial,5407,23355787,1065576490
Alabama Power Co.,2,2005,7,interdepartmental,1,3589,189399
Alabama Power Co.,2,2005,4,public_street_and_highway_lighting,716,195126,17555482
Alabama Power Co.,2,2005,6,residential,1177707,18073783,1476210660
Alabama Power Co.,2,2005,1,sales_for_resale,3882,20939046,840363697
Alaska Electric Light & Power Co.,3,2020,2,commercial,1650,40692,4574285
Alaska Electric Light & Power Co.,3,2020,3,industrial,128,113405,13084251
Alaska Electric Light & Power Co.,3,2020,8,public_authorities,498,72698,7122467
Alaska Electric Light & Power Co.,3,2020,4,public_street_and_highway_lighting,226,1112,258909
Alaska Electric Light & Power Co.,3,2020,5,rate_refunds,3882,,-190344
Alaska Electric Light & Power Co.,3,2020,6,residential,14901,157074,19662708
Alaska Electric Light & Power Co.,3,2019,2,commercial,1641,48420,6073530
Alaska Electric Light & Power Co.,3,2019,3,industrial,133,73578,8842717
Alaska Electric Light & Power Co.,3,2019,8,public_authorities,487,71466,8238428
Alaska Electric Light & Power Co.,3,2019,4,public_street_and_highway_lighting,226,1124,279541
Alaska Electric Light & Power Co.,3,2019,5,rate_refunds,3882,,-190344
Alaska Electric Light & Power Co.,3,2019,6,residential,14793,143208,20342370
Alaska Electric Light & Power Co.,3,2018,2,commercial,1667,51080,5763751
Alaska Electric Light & Power Co.,3,2018,3,industrial,140,121640,14299118
Alaska Electric Light & Power Co.,3,2018,8,public_authorities,428,67090,6574513
Alaska Electric Light & Power Co.,3,2018,4,public_street_and_highway_lighting,223,1098,266823
Alaska Electric Light & Power Co.,3,2018,5,rate_refunds,3882,,-1752709
Alaska Electric Light & Power Co.,3,2018,6,residential,14707,148071,18952881
Alaska Electric Light & Power Co.,3,2017,2,commercial,1649,52096,5593328
Alaska Electric Light & Power Co.,3,2017,3,industrial,133,143240,17592977
Alaska Electric Light & Power Co.,3,2017,8,public_authorities,428,66973,5935851
Alaska Electric Light & Power Co.,3,2017,4,public_street_and_highway_lighting,216,884,269395
Alaska Electric Light & Power Co.,3,2017,6,residential,14579,151017,17950627
Alaska Electric Light & Power Co.,3,2016,2,commercial,1624,49841,5376362
Alaska Electric Light & Power Co.,3,2016,3,industrial,125,138629,14456349
Alaska Electric Light & Power Co.,3,2016,8,public_authorities,429,65152,5763416
Alaska Electric Light & Power Co.,3,2016,4,public_street_and_highway_lighting,209,1308,286874
Alaska Electric Light & Power Co.,3,2016,6,residential,14466,140224,16614082
Alaska Electric Light & Power Co.,3,2015,2,commercial,1627,53921,5597330
Alaska Electric Light & Power Co.,3,2015,3,industrial,107,136506,12899618
Alaska Electric Light & Power Co.,3,2015,8,public_authorities,436,67324,6117824
Alaska Electric Light & Power Co.,3,2015,4,public_street_and_highway_lighting,209,995,196907
Alaska Electric Light & Power Co.,3,2015,6,residential,14292,139320,16510752
Alaska Electric Light & Power Co.,3,2014,2,commercial,1599,56330,5949381
Alaska Electric Light & Power Co.,3,2014,3,industrial,96,139935,13214593
Alaska Electric Light & Power Co.,3,2014,8,public_authorities,442,74893,6964146
Alaska Electric Light & Power Co.,3,2014,4,public_street_and_highway_lighting,212,1162,288737
Alaska Electric Light & Power Co.,3,2014,6,residential,14115,150464,17915056
Alaska Electric Light & Power Co.,3,2013,2,commercial,1551,55422,6172279
Alaska Electric Light & Power Co.,3,2013,3,industrial,96,106484,10360962
Alaska Electric Light & Power Co.,3,2013,8,public_authorities,445,72767,7182055
Alaska Electric Light & Power Co.,3,2013,4,public_street_and_highway_lighting,206,1095,283788
Alaska Electric Light & Power Co.,3,2013,6,residential,13968,141237,18067817
Alaska Electric Light & Power Co.,3,2012,2,commercial,1521,55333,5833486
Alaska Electric Light & Power Co.,3,2012,3,industrial,94,127106,11992858
Alaska Electric Light & Power Co.,3,2012,8,public_authorities,449,73331,6749573
Alaska Electric Light & Power Co.,3,2012,4,public_street_and_highway_lighting,204,1119,273757
Alaska Electric Light & Power Co.,3,2012,6,residential,13912,142255,16969941
Alaska Electric Light & Power Co.,3,2011,2,commercial,1512,52454,5640231
Alaska Electric Light & Power Co.,3,2011,3,industrial,94,98281,9272840
Alaska Electric Light & Power Co.,3,2011,8,public_authorities,450,72906,6810297
Alaska Electric Light & Power Co.,3,2011,4,public_street_and_highway_lighting,204,1133,270750
Alaska Electric Light & Power Co.,3,2011,6,residential,13842,139936,16930548
Alaska Electric Light & Power Co.,3,2010,2,commercial,1504,49566,4714127
Alaska Electric Light & Power Co.,3,2010,3,industrial,92,118427,10736102
Alaska Electric Light & Power Co.,3,2010,8,public_authorities,452,70650,5695320
Alaska Electric Light & Power Co.,3,2010,4,public_street_and_highway_lighting,205,1103,242104
Alaska Electric Light & Power Co.,3,2010,6,residential,13781,131097,14020383
Alaska Electric Light & Power Co.,3,2009,2,commercial,1489,50707,4661311
Alaska Electric Light & Power Co.,3,2009,3,industrial,91,96385,8258762
Alaska Electric Light & Power Co.,3,2009,8,public_authorities,460,68153,5813626
Alaska Electric Light & Power Co.,3,2009,4,public_street_and_highway_lighting,201,1058,234308
Alaska Electric Light & Power Co.,3,2009,6,residential,13750,130203,14829357
Alaska Electric Light & Power Co.,3,2008,2,commercial,1473,47215,6195129
Alaska Electric Light & Power Co.,3,2008,3,industrial,98,68247,7892641
Alaska Electric Light & Power Co.,3,2008,8,public_authorities,450,65061,8315257
Alaska Electric Light & Power Co.,3,2008,4,public_street_and_highway_lighting,198,1158,277912
Alaska Electric Light & Power Co.,3,2008,6,residential,13699,128495,19481630
Alaska Electric Light & Power Co.,3,2007,2,commercial,1456,55381,4627289
Alaska Electric Light & Power Co.,3,2007,3,industrial,102,70054,5094991
Alaska Electric Light & Power Co.,3,2007,8,public_authorities,439,76137,5844520
Alaska Electric Light & Power Co.,3,2007,4,public_street_and_highway_lighting,224,1171,221938
Alaska Electric Light & Power Co.,3,2007,6,residential,13644,142018,14223865
